Name,Link
https://l-userpic.livejournal.com/117691937/33301194,А.Косничев Монах
https://imgprx.livejournal.net/c930d53e49fd4b7416ab30af83e225df0566ad45/d4jYVXoB2xC2-YJ_NC3RzUZsUW6EO5C4m7awERdSNiMFL1pQLFGK8DzIos-zjnrva8arjXUJ9o9k-93guFwaGXnCXqlI_78ykVw4JFiEeJRFXU3RvoKVeH-MUn6Ru96F,К.Маковский Молодая монахиня
https://imgprx.livejournal.net/3a34c869728c1673f303a7daad9344ce72a7683f/d4jYVXoB2xC2-YJ_NC3RzUZsUW6EO5C4m7awERdSNiMFL1pQLFGK8DzIos-zjnrvcO9jZ9qvmSmvKl8Fb8LgzzhfrAKZmiOQgko1JSrcUXpGCL12JaNkY5-W2K6t4_jgyfSWjLjdw1RMuRwonwHUpg,Владимир Марков
https://imgprx.livejournal.net/464a1afdd13a378c0e2b8d46e9c20058782b452a/d4jYVXoB2xC2-YJ_NC3RzUZsUW6EO5C4m7awERdSNiMFL1pQLFGK8DzIos-zjnrvVZV6tP-zMEmo56HnAfRK4NA0Qu0xBezP5575D6Ouz_MK-u_BIKC3Na21mYChaB9-,А.Шилов. Первая зелень
https://imgprx.livejournal.net/976a35ad1417fe8736522c1aadd63668fdbb7802/d4jYVXoB2xC2-YJ_NC3RzUZsUW6EO5C4m7awERdSNiMFL1pQLFGK8DzIos-zjnrvMxVIQ3PrbaFcHE9oxJo4oByn8tHnF73yLQDi7OzjNFIjm8fJUaORSCg5h-zJFVQD,С.Брусилов Новый послушник
https://imgprx.livejournal.net/bb4d4b3814901412bc6a62b4a3ed9ea8b7ab2d52/d4jYVXoB2xC2-YJ_NC3RzUZsUW6EO5C4m7awERdSNiMFL1pQLFGK8DzIos-zjnrv-0aVHXC9eATeWmBRKg4hjNK7HhU1obLN7lrMLlj1sUC2xsse6_lW-7cagGGZf-IXkU3PX2bR7bZcTHSXloacrA,С.Брусилов Иконописец
https://imgprx.livejournal.net/98a0fec867a853052487060214e1494f90625933/d4jYVXoB2xC2-YJ_NC3RzUZsUW6EO5C4m7awERdSNiMFL1pQLFGK8DzIos-zjnrviMjNk0X9s9OTD5U6Ho-NhPEMu4OZ64Matmked_LJsc5R-Wt4ukGSwocgl4GL_Lq-,Михаил Васильевич Нестеров Монах
https://imgprx.livejournal.net/0a3ce946c4b60260b459e4be712ca08c94f08780/d4jYVXoB2xC2-YJ_NC3RzUZsUW6EO5C4m7awERdSNiMFL1pQLFGK8DzIos-zjnrv1o3wEHlw7E_XEDvA4lo9Tg9CmFadpzXFEjSvXWSy-f0-QT0HQFy6B05NLAsjqWkyMPoyzoQWKzpL4iVgKn2Wng,Павел Рыженко Прп.Сергий с медведем
https://imgprx.livejournal.net/2be0759af11003017703b9add276d4fd62a4d39b/d4jYVXoB2xC2-YJ_NC3RzUZsUW6EO5C4m7awERdSNiMFL1pQLFGK8DzIos-zjnrvu82FE-OtfA2GrbNVLhfMNi9ux25h1b022gok7NjRobc_LwGiSXg4rUOnnRrim9PXWce_MymQ7tfTC2bjAwOSEA,Павел Рыженко Послушник
https://imgprx.livejournal.net/fcc4cf26d7e8c15225b4e9f4a6fc6c3df32e3efa/d4jYVXoB2xC2-YJ_NC3RzUZsUW6EO5C4m7awERdSNiMFL1pQLFGK8DzIos-zjnrvNQgzMt__faI944hT5GV0Q8AbIAQzOEssjBcVM2FQu3NDzLX-7Q5bp91Eu01T5idR,Павел Рыженко Муравейник
https://imgprx.livejournal.net/78db66e37fefa47fd6d3afa16f3e04feb4d6fb99/d4jYVXoB2xC2-YJ_NC3RzUZsUW6EO5C4m7awERdSNiMFL1pQLFGK8DzIos-zjnrvvwPeao_8IkdUtFHQfSklWScJWZ8yFMDGMLQsFfQuoTN6LmaJgPPXH4lelVmgsKBY,Павел Рыженко Молитва
https://imgprx.livejournal.net/46d154bc3d6cd9b2aed787d6d6a4cf5394719838/d4jYVXoB2xC2-YJ_NC3RzUZsUW6EO5C4m7awERdSNiMFL1pQLFGK8DzIos-zjnrv0xIZzN8kGeNKDTz5dXF5cBEC3Uc8y_kyCblvWuh-x8sdKRlktqiYvQcOievH6-km,А.Шилов Послушник Высо-Петровского монастыря
https://imgprx.livejournal.net/fcb3ba28a77cfe38a8ae391fd5915d1d45c34c4a/d4jYVXoB2xC2-YJ_NC3RzUZsUW6EO5C4m7awERdSNiMFL1pQLFGK8DzIos-zjnrvuU8pC-9UmLbNiENibWRzYCdhcAONm0nNjLLJxdvI2qEqeccWGhMxjdWty1ZKeynIAT-XEX-Rj-1kqN_s4w69Gt3vb3l7l38BEeEIdPU3084,Павел Рыженко И душа успокоится...
https://imgprx.livejournal.net/4107f6847542cd274f25a60d53bdfa926a1fa98e/d4jYVXoB2xC2-YJ_NC3RzUZsUW6EO5C4m7awERdSNiMFL1pQLFGK8DzIos-zjnrv9qvSOrQXAiu5noqmabU5muZk-29BrcghhZFbC68gEVTAWGq8Di3Dy_88eR2gb4NqOYD-jinhF1PRAEFc9LPI6Q,Павел Рыженко Государево молчание
https://imgprx.livejournal.net/2959c6ead390faa04b8d58c3e2639cd1ecc4ebab/d4jYVXoB2xC2-YJ_NC3RzUZsUW6EO5C4m7awERdSNiMFL1pQLFGK8DzIos-zjnrvP56B1nOxP2fZATun4FTXr1Je2PfzshNfdJW1ssNxeiZFlA8EuTA1E8kWuZZySH_1p1i9vjIRZ20ankL-gdn59g,В.Тропинин Монах со свечой (1834)
https://imgprx.livejournal.net/c9a6499e3c30504f84bc3897a3ba80eea2b492f7/d4jYVXoB2xC2-YJ_NC3RzUZsUW6EO5C4m7awERdSNiMFL1pQLFGK8DzIos-zjnrv6ZvMmcERgrMe92gcDiueq3_IejiUuK5nhMBmLxJRmqrnYIsoPruAprw5i2UzkIx32VPSXfo48vHfBHDaWGVRuQ,И.Крамской
https://imgprx.livejournal.net/2e82ab671f87fa17acbbca05296d16b91b890ab1/d4jYVXoB2xC2-YJ_NC3RzUZsUW6EO5C4m7awERdSNiMFL1pQLFGK8DzIos-zjnrvFe-BSFf_SNSzvHjTzSml9V77fZo54kH_A4WbwU9C27Vhg_TpqG0kVfMUTQCrhr_M,Вл.Марков Монах
https://imgprx.livejournal.net/2311389da36cdecaea6d0475d7ead13ea809b1c8/d4jYVXoB2xC2-YJ_NC3RzUZsUW6EO5C4m7awERdSNiMFL1pQLFGK8DzIos-zjnrv5JpwlEPXtN3EDSKGSw0HTw0IAjnaFK5TuqvEErehlCVozhfX4N5eUSFXFe-zfGUE,И.Панов Куликово поле
https://imgprx.livejournal.net/2de1e24cad2af4a5dd02f699a8d1d55ef70f46a9/d4jYVXoB2xC2-YJ_NC3RzUZsUW6EO5C4m7awERdSNiMFL1pQLFGK8DzIos-zjnrvhX6zTerNFePPrH8CKyVBp2frpeDjjV18Op1DEtlC7XOzpgDnWZtUqo5q__aXZYOc,Т.Юшманова Тишина
https://imgprx.livejournal.net/7360db005a4ab89d60387ea897906e51be5541da/d4jYVXoB2xC2-YJ_NC3RzUZsUW6EO5C4m7awERdSNiMFL1pQLFGK8DzIos-zjnrv-nTWhaM7YHAYrj0JstVAQU1w4ZGDbdo7POAi2JHvyJUiM-qAKDVRWGxpgmkg9osS,Михаил Яковлевич Виллие (1838-1910)
https://imgprx.livejournal.net/6d389361a1a1c79bf30d526ef2bfc34812053236/d4jYVXoB2xC2-YJ_NC3RzUZsUW6EO5C4m7awERdSNiMFL1pQLFGK8DzIos-zjnrvkuK3juAAt8XwA1CrPIGCgontED2QUXQlpjqzTAZ6eH27Z4B3WsH3BMjsNeQJO74EeInDpcgWBMkjGphphuKTdkYV4fgRpUn_GEN70Jp_DT0,Вл. Киреев К тому берегу
https://imgprx.livejournal.net/65499f176fd401a56f574409e676a68eda96184c/d4jYVXoB2xC2-YJ_NC3RzUZsUW6EO5C4m7awERdSNiMFL1pQLFGK8DzIos-zjnrvoGTdXGoPSNDdAG1JQEXfl4tVBY33zFgD9okGYAJYvWhgkj0mKVDoZEQmGYhPBIQFKu5Co8t6sRs6pDdtUmwXCg,Василий Иванович Навозов Духовное окормление (1890)
https://imgprx.livejournal.net/ec098397255f4260e57b8b79d0ad54c385fa3094/d4jYVXoB2xC2-YJ_NC3RzVE3dmfD8q0tmRGOypg9imrQZIQgjGS9jNCwlXkp3-Sg0h4TzaE3gEyabZqplREhF16U5Br34DvApZOmODcHJi92-87jkW7drjAFBelD4dwC4Euy1SZHa4KfP2Zzj4JUQyNwn4X11TLF_dxOvxDKz1K7PVIbYEt-xQ2jOCi37ZYv,Кириак Константинович Костанди
https://imgprx.livejournal.net/e921b78d345ac40b8ebd3e8a9b3993c5253fdbc1/d4jYVXoB2xC2-YJ_NC3RzUZsUW6EO5C4m7awERdSNiMFL1pQLFGK8DzIos-zjnrvD8V7-7WZvTseYaQAKq08QLOSI5Bv9s24t56zDKUSmOo3hqAdCxljmCwzQ9NY-EQDLkR0kPEtCLOSkRffQvxWFg,Кириак Константинович Костанди Ранняя весна (1915)
https://imgprx.livejournal.net/eded6b1e68b72476885d3fe6978af94e35986509/d4jYVXoB2xC2-YJ_NC3RzUZsUW6EO5C4m7awERdSNiMFL1pQLFGK8DzIos-zjnrvYaGyuchHClHsz1iwW-XYB2PHS2sMbFPAtuuPYCa5Ta23bolSPqQkA3xsqzZXhkwj2SMpRoFNpLT--1WbWg_7XUv_vZ_tDiWVh9-vygVQgZTymQEH-_PDHR_v08zm8YXk,Константин Аполлонович Савицкий Инок
https://imgprx.livejournal.net/8994ab315ef87a6f978adb25812328969d7278a0/d4jYVXoB2xC2-YJ_NC3RzUZsUW6EO5C4m7awERdSNiMFL1pQLFGK8DzIos-zjnrvcuuH8KgjZhCNbUKgr3ntnoIhkSm6PSIvmg3N-CKMv54-TtTCJDPctHGMGiDxQPcsJ98gvRPFg3C1aByCque8puY-7_DsoUtyY38pp0kCFtc,Павел Рыженко
https://imgprx.livejournal.net/51a8905dc40380dd5401f0e38aff9184d735539d/d4jYVXoB2xC2-YJ_NC3RzUZsUW6EO5C4m7awERdSNiMFL1pQLFGK8DzIos-zjnrvFHXm0EoPpVFQCdprY2I5Sj0qjh01oLg6-kJEOR2y_aqXMzwWXAXg3NJh7AU4b7Guhfo1WTjsmMbpSdtajq2Hjg,И.Крамской Русский монах в созерцании
https://imgprx.livejournal.net/3076c8ae56931a4e26d1a7d1051e5a7d5abb9cca/d4jYVXoB2xC2-YJ_NC3RzUZsUW6EO5C4m7awERdSNiMFL1pQLFGK8DzIos-zjnrvqqZjVR_ksTeTUD59SdskyhvIUDonRKmCscbWU0T9qgnaQdkR7ATV_ubx4srMBqSV_t0eeq_aCJZb9IchfCsjfVeJLwCxqZArwBVb_5d8oko,А.Косничев У Сысоя
https://imgprx.livejournal.net/e830ef7171009788b5c4a899fd9236aee2f6a315/d4jYVXoB2xC2-YJ_NC3RzUZsUW6EO5C4m7awERdSNiMFL1pQLFGK8DzIos-zjnrvmvtGj_uKQqPExA1bIQUxmMMkj6_-fvlIrqj7vJ3-0etHBakcqGuykHOJLZFVdJe8,Борис Клементьев Исповедь
https://imgprx.livejournal.net/825bab95b4e1fcf967b7adbc6670bd61893001c2/d4jYVXoB2xC2-YJ_NC3RzUZsUW6EO5C4m7awERdSNiMFL1pQLFGK8DzIos-zjnrv9hkpWUyXZGz7o-Ru5n3NX_pKZLTugwEMnjZLVSb4-GE4yP8-ikaI3Jlk1ZgUVJCjJZUfb_jn3nS5Iraxx-GqiA,Михаил Васильевич Нестеров Прп. Сергий Радонежский
https://imgprx.livejournal.net/5386fb07833c165ffcd6063ef2150411c9705dfa/d4jYVXoB2xC2-YJ_NC3RzUZsUW6EO5C4m7awERdSNiMFL1pQLFGK8DzIos-zjnrvqb0nGbgzYd7afAuEkPyA2iDXuQuER9hRKjFe56CfJGcSp4ES-JtRjCOH2Z6umhNesCVv5OlmlYvJjPxC_nW10A,М.Нестеров Великий постриг
https://imgprx.livejournal.net/bdb1d2bd4d9e8f1cd369011155de00e5ec6421d8/d4jYVXoB2xC2-YJ_NC3RzUZsUW6EO5C4m7awERdSNiMFL1pQLFGK8DzIos-zjnrvHstZh9Yc23U8GBOsVo7DLZg0GcNP7zRLURqwmxcoyDNq3m1VJqlxhytX_nnXMcWNfBPAo3DqUni17ucMxEwrhA,А.Шилов За монастырской стеной
https://imgprx.livejournal.net/5fbcd481a60ec316a9cf6aa870193010bf47043f/d4jYVXoB2xC2-YJ_NC3RzUZsUW6EO5C4m7awERdSNiMFL1pQLFGK8DzIos-zjnrvqYDOxx-SPr0lV37yh7wvGjSAdZwx3XmM6tdxiiOH4GfxV4Tzcq1Bz1yovQbh_fplVGM25a8fElgQxFWFHFwb1g,А.Шилов Матушка Макария
https://imgprx.livejournal.net/5bbc587cea0a2458ea5f7a6ca1692340ada54748/d4jYVXoB2xC2-YJ_NC3RzUZsUW6EO5C4m7awERdSNiMFL1pQLFGK8DzIos-zjnrvii2ViHqmW6O_TMKHjmeQfs6zoNJILCP7mAFoPRdVgMWb9_wYtHEO498-zAnPDBr0o3VNw9BL09FLBVJG9hi2pw,А.Шилов Портрет епископа Василия (Родзянко)
https://imgprx.livejournal.net/b877d891ecf875dd060bb2b3e0fbb5389ac20fb1/d4jYVXoB2xC2-YJ_NC3RzUZsUW6EO5C4m7awERdSNiMFL1pQLFGK8DzIos-zjnrvgBVSSsXT8H8EKqoEXneKEHo0ewgMAOo7QXbTJEzVe0krBve9eK5SL67gk9SYCkPoSVU5DZwZHbvFmdjxhA4XFy8tn2-vH3sK7wuRN8nN9IQ,А.Шилов Сестра милосердия
https://imgprx.livejournal.net/018044e178867c38675f483c58e1fc20cdb2dd49/d4jYVXoB2xC2-YJ_NC3RzUZsUW6EO5C4m7awERdSNiMFL1pQLFGK8DzIos-zjnrvbKbhX1G9O1ihbmPdmWfs4CzS-IrSOCOpPxDdtUfIPd79Nk4qIke6gZNVd8iTDFzQc64dva9vBJ3Jx3nSvqbxTQ,М.И.Игнатьев А жизнь так хороша
https://imgprx.livejournal.net/48e5de8777db4ef42a19a53c3180b298158ff94a/d4jYVXoB2xC2-YJ_NC3RzUZsUW6EO5C4m7awERdSNiMFL1pQLFGK8DzIos-zjnrvXHG-oEQ2AZ_AXqz2897BJMBO_khQQVW4k7qMOHxx9o3-wYqe5lnSHFspBcF7zCERqO1P8y-NVceWkMvzYqkg1A,С.Афонина Просветитель прп. Иосиф Волоцкий
https://imgprx.livejournal.net/2c618ad424c219ae9a4d037337c17c5e86b9b902/d4jYVXoB2xC2-YJ_NC3RzUZsUW6EO5C4m7awERdSNiMFL1pQLFGK8DzIos-zjnrvMoyvaTQ4hjNH_D7VGi8W6ShO6zWjLFj6Km7LPJMOP6b4q2ZJy8OKAejkT2pf1KrLqUNGzc_ZUtz8H5Zrr2AywNs78zjMOXUBr6als7cKPlg,Павел Рыженко Благословение
https://imgprx.livejournal.net/b8405f45d592d41a1b2edd50e1e90fbb164eb717/d4jYVXoB2xC2-YJ_NC3RzUZsUW6EO5C4m7awERdSNiMFL1pQLFGK8DzIos-zjnrvCuzO4EYqmE4PhL4ST5h316HTH7134du9HnfpUvncO6Dfljvn5f40ypIyxdJwod-l,Павел Рыженко Утро перед битвой
https://imgprx.livejournal.net/773c6cdea5ed838214456b216f9bac04742a3bc4/d4jYVXoB2xC2-YJ_NC3RzUZsUW6EO5C4m7awERdSNiMFL1pQLFGK8DzIos-zjnrvq8DKpoysUxzyqoRCS9j8Urgy8Gv4bt4iGvrOsAlhTKmmoidzQHWue8lok7wH6JCzrDYggB0XGLMU5KVkD6FFdg,С.Афонина Прп. Кирилл Белозерский
https://imgprx.livejournal.net/ff723c68bc7243d1b07b95f8255f80c9038f4578/d4jYVXoB2xC2-YJ_NC3RzUZsUW6EO5C4m7awERdSNiMFL1pQLFGK8DzIos-zjnrvG9Y3gusRE0x4IPcCbJkTBp2m3LftZUm8abbJQyDZh_3wyVpRSPcACrqxhaqTQ3my9O0mxjpapglVBPQY5xjIgA,С.Афонина Прп. Антоний и Феодосий Киево-Печерские
